entry_signal_time,spy_price,fill_time
2026-05-21 15:10:00+00:00,738.945,2026-05-21 15:15:00+00:00
2026-06-08 13:30:00+00:00,742.185,2026-06-08 13:35:00+00:00
2026-06-09 14:20:00+00:00,741.95,2026-06-09 14:25:00+00:00
2026-06-10 13:40:00+00:00,736.17,2026-06-10 13:45:00+00:00
2026-06-11 14:20:00+00:00,729.22,2026-06-11 14:25:00+00:00
2026-06-12 14:00:00+00:00,738.79,2026-06-12 14:05:00+00:00
2026-06-17 18:40:00+00:00,749.9301,2026-06-17 18:45:00+00:00
2026-06-18 13:30:00+00:00,745.89,2026-06-18 13:35:00+00:00
2026-06-24 14:20:00+00:00,736.27,2026-06-24 14:25:00+00:00
2026-06-25 14:00:00+00:00,733.24,2026-06-25 14:05:00+00:00
2026-06-26 14:00:00+00:00,732.19,2026-06-26 14:05:00+00:00
2026-06-29 13:30:00+00:00,738.6701,2026-06-29 13:35:00+00:00
2026-07-01 14:05:00+00:00,746.095,2026-07-01 14:10:00+00:00
2026-07-09 14:20:00+00:00,746.96,2026-07-09 14:25:00+00:00
2026-07-16 19:50:00+00:00,749.98,2026-07-16 19:55:00+00:00
2026-07-17 14:20:00+00:00,746.87,2026-07-17 14:25:00+00:00
2026-07-20 14:25:00+00:00,745.68,2026-07-20 14:30:00+00:00
2026-07-27 16:00:00+00:00,738.1592,2026-07-27 16:05:00+00:00
2026-07-30 13:45:00+00:00,737.4,2026-07-30 13:50:00+00:00
2026-07-31 14:45:00+00:00,742.4229,2026-07-31 14:50:00+00:00
2026-08-07 14:15:00+00:00,771.82,2026-08-07 14:20:00+00:00
2026-08-28 14:15:00+00:00,771.43,2026-08-28 14:20:00+00:00
